Official Name of Satellite,Country/Organization of UN Registry,Operator/Owner,Country of Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of Geosynchronous Orbit (Degrees),Perigee (Kilometers),Apogee (Kilometers),Eccentricity,Inclination (Degrees),Period (Minutes),Launch Mass (Kilograms),Dry Mass (Kilograms),Power (Watts),Date of Launch,Expected Lifetime (Years),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number
Echostar 14,USA,"Echostar Technologies, LLC",USA,Commercial,Communications,,GEO,,-119,35785,35789,4.74E-05,0.05,1436.11,6384,3223,20000,3/20/2010,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2010-010A,36499
Echostar 15,USA,"Echostar Technologies, LLC",USA,Commercial,Communications,,GEO,,-61.5,35789,35803,0.000166,0.07,1436.57,5521,,20000,7/10/2010,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2010-034A,36792
Echostar 16,USA,"Echostar Technologies, LLC",USA,Commercial,Communications,,GEO,,-61.5,35776,35796,0.000237,0.05,1436.06,6658,3228,,11/20/2012,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2012-065A,39008
Echostar 17,USA,"Echostar Technologies, LLC",USA,Commercial,Communications,,GEO,,-107.1,35781,35794,0.000154,0.01,1436.13,6100,,16100,7/5/2012,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2012-035A,38551
Echostar 18,NR,"Echostar Technologies, LLC",USA,Commercial,Communications,,GEO,,-109.9,35692,35788,0.00114,0.08,1436.3,6300,,,6/19/2016,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2016-039B,41592
Echostar 3 ,USA,"Echostar Technologies, LLC",USA,Commercial,Communications,,GEO,,-61.46,35783,35790,8.3E-05,0.02,1436.11,3674,1700,10000,10/5/1997,12,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 2AS,1997-059A,25004
Echostar 7 ,USA,"Echostar Technologies, LLC",USA,Commercial,Communications,,GEO,,-118.85,35782,35789,8.3E-05,0.01,1436.07,4027,2200,13000,2/21/2002,12,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 3B,2002-006A,27378
Echostar 8 ,USA,"Echostar Technologies, LLC",USA,Commercial,Communications,,GEO,,-76.97,35783,35789,7.12E-05,0.01,1436.1,4660,,10000,8/21/2002,12,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton,2002-039A,27501
Echostar 9/Galaxy 23,USA,"Echostar Technologies, LLC/Intelsat ",USA,Commercial,Communications,,GEO,,-121.02,35775,35797,0.000261,0.01,1436.08,4000,2500,,8/8/2003,13,Space Systems/Loral,USA,Sea Launch,Zenit 3SL,2003-034A,27854
Echostar G1,USA,Dish Network,USA,Commercial,Communications,,GEO,,-92.92,35773,35799,0.000308,5.73,1436.1,6600,,16000,4/14/2008,15,Space Systems/Loral,USA,Cape Canaveral,Atlas 5,2008-016A,32763
Cosmos 2510,Russia,Ministry of Defense,Russia,Military,Earth Observation,Early Warning,Elliptical,Molniya,0,1606,38662,0.699,63,715,,,,11/17/2015,,RKK Energia,Russia,Plesetsk Cosmodrome,Soyuz 2.1,2015-066A,41032
Electro-L1,Russia,    Roshydromet - Planeta,Russia,Government,Earth Observation,Optical Imaging,GEO,,76,35323,35750,0.00509,0.46,1423.35,1766,,,1/20/2011,10,Lavochkin,Russia,Baikonur Cosmodrome,Zenit,2011-001A,37344
Electro-L2,NR, Roshydromet - Planeta,Russia,Government,Earth Observation,Optical Imaging,GEO,,77.8,35694,35815,0.00144,0.45,1434.47,1800,,,12/11/2015,10,Lavochkin,Russia,Baikonur Cosmodrome,Zenit,2015-074A,41105
ELISA-E12,France,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),France,Military,Earth Observation,Electronic Intelligence,LEO,Sun-Synchronous,0,675,692,0.00121,98.21,98.43,120,,,12/17/2011,,Astrium/Thales Alenia Space,France,Guiana Space Center,Soyuz 2/Fregat,2011-076D,38010
ELISA-E24,France,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),France,Military,Earth Observation,Electronic Intelligence,LEO,Sun-Synchronous,0,675,692,0.00121,98.21,98.43,120,,,12/17/2011,,Astrium/Thales Alenia Space,France,Guiana Space Center,Soyuz 2/Fregat,2011-076B,38008
ELISA-W11,France,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),France,Military,Earth Observation,Electronic Intelligence,LEO,Sun-Synchronous,0,677,692,0.00106,98.21,98.45,120,,,12/17/2011,,Astrium/Thales Alenia Space,France,Guiana Space Center,Soyuz 2/Fregat,2011-076A,38007
ELISA-W23,France,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),France,Military,Earth Observation,Electronic Intelligence,LEO,Sun-Synchronous,0,677,692,0.00106,98.21,98.46,120,,,12/17/2011,,Astrium/Thales Alenia Space,France,Guiana Space Center,Soyuz 2/Fregat,2011-076C,38009
EO-1,USA,NASA Earth Science Office,USA,Government,Earth Observation/Research,Optical Imaging,LEO,Sun-Synchronous,0,678,690,0.000851,98.1,98.4,572,,600,11/21/2000,5,Swales Aerospace,USA,Vandenberg AFB,Delta 2,2000-075A,26619
Terra,USA,Earth Sciences Enterprise (NASA),USA/Canada/Japan,Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,702,703,7.07E-05,98.2,98.8,4854,,2530,12/18/1999,6,Lockheed Martin,USA,Vandenberg AFB,Atlas 2AS,1999-068A,25994
Aura,USA,Goddard Space Flight Center/EOS Data and Operations System,USA,Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,702,703,7.07E-05,98.2,98.8,2967,,"4,600 (EOL)",7/15/2004,5,TRW,USA,Vandenberg AFB,Delta 2,2004-026A,28376
Aqua,USA,NASA - Earth Science Enterprise/Japan Meteorological Agency/Brazilian Space Agency,USA/Japan/Brazil,Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,701,704,0.000212,98.2,98.8,2934,2832,"4,860 (EOL)",5/4/2002,6,NASA/Jet Propulsion Laboratory/Japan Aerospace Exploration Agency/Equatorial Systems (Brazil),USA/Japan/Brazil,Vandenberg AFB,Delta,2002-022A,27424
EROS A-1,NR,"ImageSat International, NV/Ministry of Defense",Israel,Military/Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,466,477,0.000804,97.56,95.4,240,,,12/5/2000,6,Israel Aircraft Industries (IAI),Israel,Svobodny Cosmodrome,Start 1,2000-079A,26631
EROS B-1,NR,"ImageSat International, NV/Ministry of Defense",Israel,Military/Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,508,514,0.000436,97.4,94.8,350,,800,4/25/2006,10,Israel Aircraft Industries (IAI),Israel,Svobodny Cosmodrome,Start 1,2006-014A,29079
e-st@r-2,NR,Polytechnic of Turin,Italy,Civil,Technology Development,,LEO,Elliptical,0,442,687,0.0177,98.2,95.9,1,,,4/25/2016,,Polytechnic of Turin,Italy,Guiana Space Center,Soyuz 2-1a,2016-025D,41459
Eurasiasat 1,Turkey,Eurasiasat SAM/Alcatel Space,Turkey/France,Commercial,Communications,,GEO,,42.08,35761,35810,0.000581,0.02,1436.06,3535,1900,"9,000 (EOL)",1/10/2001,15,Alcatel Space Industries,France,Guiana Space Center,Ariane 4,2001-002A,26666
Eutelsat 10A,France,European Telecommunications Satellite Consortium (EUTELSAT),Multinational,Commercial,Communications,,GEO,,10,35781,35822,0.000486,0.03,1436.09,5900,,,4/3/2009,15,Alcatel Alenia Space,France,Baikonur Cosmodrome,Proton M,2009-016A,34710
Eutelsat 113 West-A,Mexico,Eutelsat Americas,Multinational,Commercial,Communications,,GEO,,-113,35776,35796,0.000237,0.03,1436.1,5456,2310,"12,690 (EOL)",5/27/2006,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2006-020A,29162
Eutensat 115 West-B,NR,Eutelsat S.A.,Multinational,Commercial,Communications,,GEO,,-114.9,35789,35789,0,0,1436,,,,3/2/2015,15,Boeing Defense and Space,USA,Cape Canaveral,Falcon 9,2015-010B,40425
Eutelsat 117 West A,Mexico,Eutelsat Americas,Multinational,Commercial,Communications,,GEO,,-116.8,35779,35795,0.00019,0.02,1436.1,5474,2317,"12,690 (EOL)",3/26/2013,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2013-012A,39122
Eutelsat 117 West B,NR,Eutelsat Americas,Multinational,Commercial,Communications,,GEO,,-116.8,35779,35795,0.00019,0.02,1436.1,5500,2300,13000,6/15/2016,15,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2016-038B,41589
Eutelsat 12 West A,France,Eutelsat S.A.,Multinational,Commercial,Communications,,GEO,,-12.43,35768,35805,0.000439,0.11,1436.1,2700,1550,5100,8/28/2002,15,Alenia Spazio,Italy,Guiana Space Center,Ariane 5G,2002-040A,27508
Eutelsat 16A,France,Eutelsat S.A.,Multinational,Commercial,Communications,,GEO,,16,35779,35795,0.00019,0.2,1436.12,5400,,,10/7/2011,,Thales Alenia Space,France,Xichang Satellite Launch Center,Long March 3B,2011-057A,37836
Eutelsat 16C,France,Eutelsat S.A.,Multinational,Commercial,Communications,,GEO,,35.96,35754,35817,0.000747,0.07,1436.06,2500,,5600,4/17/2000,,Alcatel Space/NPO PM (Applied Mechanics),France/Russia,Baikonur Cosmodrome,Proton K,2000-019A,26243
Eutelsat 172A,USA,Eutelsat S.A.,Multinational,Commercial,Communications,,GEO,,172.06,35772,35799,0.00032,0.01,1436.1,5000,,13000,12/29/2005,16,Alcatel Alenia Space,France/Italy,Baikonur Cosmodrome,Proton M,2005-052A,28924
Eutelsat 25B,France,Eutelsat S.A./Es'hailSat,Multinational,Commercial,Communications,,GEO,,25.5,35725,35767,0.000499,0.08,1434.03,,,,8/29/2013,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2013-044A,39233
Eutelsat 33A,France,Eutelsat S.A.,Multinational,Commercial,Communications,,GEO,,33.14,35781,35790,0.000107,0.05,1436.06,1525,1300,1600,9/27/2003,10,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5,2003-043A,27948
Eutelsat 33B,France,Eutelsat S.A.,Multinational,Commercial,Communications,,GEO,,25.5,35780,35790,0.000119,0.02,1436.04,3170,1900,5900,11/20/2002,12,Alcatel Space Industries,France,Cape Canaveral,Atlas IIAS,2002-051A,27554
Eutelsat 33C,France,Eutelsat S.A.,Multinational,Commercial,Communications,,GEO,,33,35788,35794,7.12E-05,0.07,1436.1,2950,1375,5900,3/8/2001,12,Alcatel Space Industries,France,Guiana Space Center,Ariane 5,2001-011A,26719
Eutelsat 36A,France,Eutelsat S.A.,Multinational,Commercial,Communications,,GEO,,36.09,35766,35806,0.000474,0.07,1436.08,3190,1380,6000,5/24/2000,12,Alcatel Space Industries,France,Cape Canaveral,Atlas 3A,2000-028A,26369
Eutelsat 36B,France,Eutelsat S.A.,Multinational,Commercial,Communications,,GEO,,36,35786,35787,1.19E-05,0.07,1436.09,5600,,13200,11/24/2009,15,Thales Alenia Space,France,Baikonur Cosmodrome,Breeze M,2009-065A,36101
Eutelsat 3B,France,Eutelsat S.A.,Multinational,Commercial,Communications,,GEO,,3,35782,35791,0.000107,0.07,1436.1,5967,,,5/26/2014,15,Airbus Defense and Space,France,Sea Launch (Odyssey),Zenit 3SL,2014-030A,39773
Eutelsat 48A,France,Eutelsat S.A.,Multinational,Commercial,Communications,,GEO,,9.08,35757,35815,0.000688,0.08,1436.07,2915,1700,,11/21/1996,14,Matra Marconi Space (Astrium),France/UK/Germany,Cape Canaveral,Delta 2,1996-067A,24665
Eutelsat 48B,France,Eutelsat S.A.,Multinational,Commercial,Communications,,GEO,,48,35777,35797,0.000237,0.09,1436.12,5102,2060,,11/10/2012,15,Thales Alenia Space,Italy,Guiana Space Center,Ariane 5 ECA,2012-062B,38992
Eutelsat 5 West A,France,Eutelsat S.A.,Multinational,Commercial,Communications,,GEO,,-4.93,35769,35805,0.000427,0.04,1436.08,4050,1805,11000,7/5/2002,15,Alcatel Space Industries,France,Guiana Space Center,Ariane 5,2002-035A,27460
Eutelsat 65 West-A,NR,Eutelsat S.A.,Multinational,Commercial,Communications,,GEO,,-65,35776,35796,0.000237,0.08,1436.07,6654,,16000,3/9/2016,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5,2016-014A,41382
Eutelsat 7 West A,France,Eutelsat S.A./Nilesat,Multinational,Commercial,Communications,,GEO,,-7,35774,35799,0.000297,0.06,1436.09,4600,,12000,9/24/2011,15,Astrium,France,Sea Launch (Odyssey),Zenit 3SL,2011-051A,37816
Eutelsat 70B,France,Eutelsat S.A.,Multinational,Commercial,Communications,,GEO,,70,35780,35800,0.000237,0.06,1436.28,5250,,,12/3/2012,15,EADS Astrium,France,Sea Launch (Odyssey),Zenit 3SL,2012-069A,39020
Eutelsat 7A,France,Eutelsat S.A.,Multinational,Commercial,Communications,,GEO,,7.06,35769,35802,0.000391,0.06,1436.07,4300,2000,,3/15/2004,15,Astrium,France,Baikonur Cosmodrome,Proton M,2004-008A,28187
Eutelsat 7B,France,Eutelsat S.A.,Multinational,Commercial,Communications,,GEO,,7,35784,35794,0.000119,0.03,1436.21,5404,,,5/14/2013,15,Thales Alenia Space,France,Baikonur Cosmodrome,Proton M,2013-022A,39163
Eutelsat 8 West A,France,Eutelsat S.A.,Multinational,Commercial,Communications,,GEO,,-12.5,35766,35806,0.000474,0.06,1436.1,3150,1368,7400,9/25/2001,15,Alcatel Space Industries,France,Guiana Space Center,Ariane 4,2001-042A,26927
Eutelsat 8 West B,NR,Eutelsat S.A./Nilesat,Multinational,Commercial,Communications,,GEO,,-8,35773,35814,0.000486,0.1,1436.1,5800,,,8/20/2015,15,Thales Alenia Space,France/Italy,Guiana Space Center,Ariane 5,2015-039B,40875
Eutelsat Hot Bird 13A,France,Eutelsat S.A.,Multinational,Commercial,Communications,,GEO,,33,35756,35815,0.0007,0.09,1436.06,3800,1900,9000,8/28/2002,12,Alcatel Space Industries,France,Cape Canaveral,Atlas 5,2002-038A,27499
Eutelsat 9A,France,Eutelsat S.A.,Multinational,Commercial,Communications,,GEO,,-30.01,35775,35799,0.000285,0.07,1436.1,4100,1740,10000,3/11/2006,15,Alcatel Alenia Space,France,Guiana Space Center,Ariane 5,2006-007B,28945
Eutelsat Hot Bird 13E,NR,Eutelsat S.A.,Multinational,Commercial,Communications,,GEO,,9,35780,35792,0.000142,0.08,1436.06,5200,,,1/29/2016,15,Airbus Defense and Space,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton,2016-005A,41310
Eutelsat Hot Bird 13D,France,Eutelsat S.A.,Multinational,Commercial,Communications,,GEO,,-0.07,35766,35806,0.000474,0.06,1436.07,4892,2240,11000,2/11/2009,15,EADS Astrium,France,Guiana Space Center,Ariane 5 ECA,2009-008B,33750
Eutelsat Hot Bird 13B,France,Eutelsat S.A.,Multinational,Commercial,Communications,,GEO,,13.08,35759,35812,0.000629,0.02,1436.06,4900,,14000,8/4/2006,15,EADS Space,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton/Breeze M,2006-032A,29270
Eutelsat Hot Bird 13C,France,Eutelsat S.A.,Multinational,Commercial,Communications,,GEO,,0.99,35786,35787,1.19E-05,0.06,1436.09,4880,2338,14500,12/20/2008,15,EADS Astrium,France,Guiana Space Center,Ariane 5,2008-065A,33459
Eutelsat KA-SAT 9A,France,Eutelsat S.A.,Multinational,Commercial,Communications,,GEO,,9,35714,35856,0.00168,0.13,1436.01,6150,3200,11000,12/26/2010,15,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton,2010-069A,37258
exactView 1,Canada,exactEarth,Canada,Commercial,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,806,821,0.00104,99,101.2,100,,,7/22/2012,,Surrey Satellite Technologies Ltd.,United Kingdom,Baikonur Cosmodrome,Soyuz-Fregat,2012-039C,38709
exactView 6,Canada,exactEarth,Canada,Commercial,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,627,694,0.00476,98.2,98,12,12,,8/17/2011,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr 1,2011-044F,37793
exactView 9,NR,exactEarth,Canada,Commercial,Communications,Automatic Identification System (AIS),LEO,Equatorial,0,630,649,0.00136,6,97.5,6,6,,9/28/2015,,Space Flight Laboratory (SFL),Canada,Satish Dhawan Space Centre,PSLV C-30,2015-052C,40932
Express AM-22,Russia,Russian Satellite Communications Company (Intersputnik)/EUTELSAT,Russia/Multinational,Commercial,Communications,,GEO,,53.04,35781,35790,0.000107,0.02,1436.06,2600,,6000,12/28/2003,12,NPO-PM/Alcatel,Russia/France,Baikonur Cosmodrome,Proton K,2003-060A,28134
Express AMU1,NR,Russian Satelite Communications Company (Intersputnik),Russia,Commercial,Communications,,GEO,,36,35792,35795,3.56E-05,0.1,1436.1,2700,,,12/24/2015,15,Airbus Defense and Space,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2015-082A,41191
Express-A1R,Russia,Russian Satellite Communications Company (Intersputnik),Russia,Commercial,Communications,,GEO,,13.97,35774,35798,0.000285,0.02,1436.1,2600,,6000,6/10/2002,7-10,NPO-PM/Alcatel,Russia,Baikonur Cosmodrome,Proton K,2002-029A,27441
Express-AM2,Russia,Russian Satellite Communications Company (Intersputnik),Russia,Commercial,Communications,,GEO,,145,35785,35788,3.56E-05,0.04,1436.1,2542,,6000,3/29/2005,12,NPO-PM/Alcatel,Russia/France,Baikonur Cosmodrome,Proton K,2005-010A,28629
Express-AM3,Russia,Russian Satellite Communications Company (Intersputnik),Russia,Commercial,Communications,,GEO,,103,35777,35795,0.000213,0.09,1436.1,2600,,4200,6/24/2005,12,NPO-PM/Alcatel,Russia/France,Baikonur Cosmodrome,Proton K,2005-023A,28707
Express-AM33,Russia,Russian Satellite Communications Company (Intersputnik),Russia,Commercial,Communications,,GEO,,96.53,35782,35791,0.000107,0.05,1436.1,2600,,,1/28/2008,12,NPO-PM/Thales Alenia Space,Russia/France,Baikonur Cosmodrome,Proton M,2008-003A,32478
Express-AM44,Russia,Russian Satellite Communications Company (Intersputnik),Russia,Commercial,Communications,,GEO,,-11,35987,35995,9.44E-05,0.11,1446.57,2532,,,2/11/2009,12,NPO-PM/Thales Alenia Space,Russia/France,Baikonur Cosmodrome,Proton M,2009-007A,33595
Express-AM5,Russia,Russian Satellite Communications Company (Intersputnik),Russia,Commercial,Communications,,GEO,,140,35420,35940,0.00618,0.08,1430.6,3400,,,12/26/2013,15,OAO-ISS,Russia,Baikonur Cosmodrome,Proton M,2013-077A,39487
Express-AM6,Russia,Russian Satellite Communications Company (Intersputnik),Russia,Commercial,Communications,,GEO,,53,34094,37636,0.0419,0.53,1440.09,3358,1100,14000,10/21/2014,15,ISS Reshetnev ,Russia,Baikonur Cosmodrome,Proton M,2014-064A,40277
Express-AM7,Russia,Russian Satellite Communications Company (Intersputnik),Russia,Commercial,Communications,,GEO,,40,35777,35796,0.000225,0.01,1436.1,5720,,18000,3/18/2015,15,Airbus Defense and Space,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2015-012A,40505
Express-AM8,Russia,Russian Satellite Communications Company (Intersputnik),Russia,Commercial,Communications,,GEO,,-14,35784,35788,4.74E-05,0.03,1436.09,2100,,,9/14/2015,15,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton DM,2015-048A,40895
Express-AT1,Russia,Russian Satellite Communications Company (Intersputnik),Russia,Commercial,Communications,,GEO,,56,35781,35804,0.000273,0.06,1436.4,1726,,,3/15/2014,15,OAO-ISS,Russia,Baikonur Cosmodrome,Proton M,2014-010A,39612
Express-AT2,Russia,Russian Satellite Communications Company (Intersputnik),Russia,Commercial,Communications,,GEO,,140,35609,35715,0.00126,0.1,1429.75,1427,,,3/15/2014,15,OAO-ISS,Russia,Baikonur Cosmodrome,Proton M,2014-010B,39613
Falconsat-3,USA,US Air Force Academy,USA,Military/Civil,Technology Development,,LEO,Non-Polar Inclined,0,538,540,0.000145,35.4,95.4,46,,,3/9/2007,,US Air Force Academy,USA,Cape Canaveral,Atlas 5,2007-006E,30776
USA 222,USA,University of Texas - Austin,USA,Civil,Technology Development,,LEO,Polar,0,627,654,0.00193,71.97,97.54,55,,,11/20/2010,,University of Texas - Austin,USA,Kodiak Launch Complex,Minotaur 4,2010-062F,37227
Fengniao 1A,NR,Chinese Academy of Space Technology (CAST),China,Government,Technology Development,,LEO,Sun-Synchronous,0,488,500,0.000874,97.35,94.49,160,,,11/20/2012,,Chinese Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 2C,2012-064B,38998
Fengyun 2D,China,China Meteorological Administration,China,Government,Earth Observation,Earth Science,GEO,,86.51,35777,35791,0.000166,0.77,1436,1390,620,,12/8/2006,3,China Aerospace Corporation,China,Xichang Satellite Launch Center,Long March 3A,2006-053A,29640
Fengyun 2E,China,China Meteorological Administration,China,Government,Earth Observation,Earth Science,GEO,,123.59,35767,35803,0.000427,2.61,1436.04,1390,620,,12/23/2008,3,Shanghai Academy of Space Flight Technology,China,Xichang Satellite Launch Center,Long March 3A,2008-066A,33463
Fengyun 2F,China,China Meteorological Administration,China,Government,Earth Observation,Earth Science,GEO,,105,35760,35816,0.000664,2.19,1436.19,1390,620,,1/12/2012,3,Shanghai Academy of Space Flight Technology,China,Xichang Satellite Launch Center,Long March 3A,2012-002A,38049
Fengyun 2G,NR,China Meteorological Administration,China,Government,Earth Observation,Earth Science,GEO,,0,35770,35800,0.000356,2.27,1436.02,1390,620,,12/31/2014,,Shanghai Academy of Space Flight Technology,China,Xichang Satellite Launch Center,Long March 3A,2014-090A,40367
Fengyun 3A,China,China Meteorological Administration,China,Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,820,835,0.00104,98.6,101.5,2300,,,5/27/2008,,Shanghai Academy of Space Flight Technology,China,Taiyuan Launch Center,Long March 4C,2008-026A,32958
Fengyun 3B,China,China Meteorological Administration,China,Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,827,828,6.95E-05,98.8,101.5,2300,,,11/4/2010,,Shanghai Academy of Space Flight Technology,China,Taiyuan Launch Center,Long March 4C,2010-059A,37214
Fengyun 3C,China,China Meteorological Administration,China,Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,827,828,6.95E-05,98.81,101.45,2300,,,9/23/2013,,Shanghai Academy of Space Flight Technology,China,Taiyuan Launch Center,Long March 4C,2013-052A,39260
Fermi Gamma-Ray Space Telescope,USA,NASA/GSFC,USA,Government,Space Science,,LEO,Non-Polar Inclined,0,537,556,0.00137,25.6,95.6,4303,,,6/11/2008,,General Dynamics,USA,Cape Canaveral,Delta 2,2008-029A,33053
USA 215,USA,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Radar Imaging,LEO,Non-Polar Inclined,0,1101,1107,0.000401,122.99,107.35,,,,9/21/2010,,National Reconnaissance Office (NRO),USA,Vandenberg AFB,Atlas 5,2010-046A,37162
USA 234,USA,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Radar Imaging,LEO,Non-Polar Inclined,0,1068,1107,0.00261,123,107,,,,4/3/2012,,National Reconnaissance Office (NRO),USA,Vandenberg AFB,Delta 4,2012-014A,38109
USA 247,NR,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Radar Imaging,LEO,Non-Polar Inclined,0,1066,1081,0.00101,123,106.7,,,,12/6/2013,,National Reconnaissance Office (NRO),USA,Vandenberg AFB,Atlas 5,2013-072A,39462
USA 267,NR,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Radar Imaging,LEO,Non-Polar Inclined,0,1086,1087,6.71E-05,123,106.7,,,,2/10/2016,,National Reconnaissance Office (NRO),USA,Vandenberg AFB,Delta 4,2016-010A,41334
Firebird-A,NR,"Firebird Consortium (Montana State Univ., Univ. of New Hampshire, Aerospace Corp., Los Alamos National Laboratory)",USA,Government/Civil,Space Science,,LEO,Polar,0,443,886,0.0315,120.3,98,2,,,12/6/2013,3,Montana State University,USA,Vandenberg AFB,Atlas 5,2013-072B,39463
